mV_1,uA_1,i1_bac1,i1_bac2,i1_bac3,i1_bac4,i1_bac5,mV_2,uA_2,i2_bac1,i2_bac2,i2_bac3,i2_bac4,i2_bac5,mV_3,uA_3,i3_bac1,i3_bac2,i3_bac3,i3_bac4,i3_bac5,mV_4,uA_4,i4_bac1,i4_bac2,i4_bac3,i4_bac4,i4_bac5,mV_5,uA_5,i5_bac1,i5_bac2,i5_bac3,i5_bac4,i5_bac5
-200.0,3.98409,3.984089999999999,-15.496899999999997,-18.288119999999992,-19.611789999999992,-20.216079999999998,-200.0,-15.4969,3.984089999999962,-15.496900000000085,-18.288120000000152,-19.61179000000011,-20.216080000000176,-200.0,-18.28812,3.984089999830613,-15.496900000159116,-18.28812000015618,-19.611790000233484,-20.216080000280428,-200.0,-19.61179,3.984089983877321,-15.496900016144608,-18.288120016043113,-19.61179000327476,-20.216079995580884,-200.0,-20.21608,3.984096031883825,-15.49689397953315,-18.28811399421582,-19.611783843948192,-20.21607375619555
-190.0,4.01287,4.3382253527121,-14.58705995013267,-17.36005967468831,-18.67413490027901,-19.27210268405509,-190.0,-14.83507,4.282896431929822,-14.632305684942558,-17.40327648082987,-18.716242559830235,-19.312684083584752,-190.0,-17.65506,4.446963157815678,-14.461965890551383,-17.233147375737843,-18.547402502540805,-19.146003264983637,-190.0,-18.94996,4.63027490763456,-14.269238796511353,-17.042270880799364,-18.35963202432699,-18.96287442049904,-190.0,-19.52547,4.777059129083558,-14.113342711866329,-16.88894723956162,-18.20998724145337,-18.81834814941888
-180.0,4.01287,4.713933826384923,-13.659731286058918,-16.412862164136854,-17.717653365600906,-18.310289056537115,-180.0,-14.25955,4.568176704183135,-13.787026900952904,-16.53775923034765,-17.84008071282142,-18.429043726310834,-180.0,-17.022,4.889496957803234,-13.45309557312049,-16.204190378564288,-17.508971901584367,-18.101895358614435,-180.0,-18.34567,5.248238490749615,-13.075964375869177,-15.830571699310193,-17.14137595914509,-17.74320343078144,-180.0,-18.92118,5.534743458745599,-12.771763399339322,-15.531303804971325,-16.84925408428886,-17.460962883754704
-170.0,3.98409,5.135588284503381,-12.693024422257901,-15.424748726156686,-16.71949779294077,-17.30791236445539,-170.0,-13.71282,4.825280810431607,-12.981305098298586,-15.711902910927172,-17.003705305035854,-17.585887679656086,-170.0,-16.47527,5.292278409337244,-12.49512877574714,-15.22604812056616,-16.521241941750706,-17.10851041334892,-170.0,-17.79894,5.810872913341856,-11.95005972666308,-14.685787008903905,-15.989549933522829,-16.58925444390416,-170.0,-18.37445,6.223300442347576,-11.512383126089766,-14.254995905265654,-15.568959435615346,-16.182621368842145
-160.0,13.1347,5.4830716863439095,-11.823032531858972,-14.53415722090217,-15.818854686064235,-16.40481862240199,-160.0,-3.12345,5.0396398261929125,-12.234735053545032,-14.945465004710993,-16.226968111297637,-16.8033320683094,-160.0,-5.71324,5.637823275998839,-11.610394773944613,-14.321020657814495,-15.60646368203315,-16.18810963770628,-160.0,-6.92181,6.293291197768758,-10.921722827026262,-13.637932609910395,-14.933956831148295,-15.530543213612521,-160.0,-7.43977,6.811730614487386,-10.371966330407604,-13.096439166333749,-14.405126992063861,-15.018777059628434
-150.0,5.04879,5.613721397155589,-11.209389768664597,-13.903119162417216,-15.179903520699806,-15.76596167133048,-150.0,-11.52589,5.202972607371516,-11.55927161786164,-14.250516431155043,-15.522024515925116,-16.093708867308468,-150.0,-14.23078,5.911574861394476,-10.817469069395342,-13.507666780810155,-14.783156036396148,-15.359228165023813,-150.0,-15.4969,6.673916892032975,-10.01703513253089,-12.712960893089942,-14.000371926933788,-14.592638854091206,-150.0,-16.07241,7.273279595095183,-9.38215075802021,-12.087017939214583,-13.388816394599084,-14.000067678974087
-140.0,4.58838,5.657349323536321,-10.711018725561534,-13.38896209045562,-14.658991909556441,-15.246761893595156,-140.0,-11.55466,5.3180272243813445,-10.95393073501188,-13.62605474043407,-14.887885914339742,-15.45611234074957,-140.0,-14.23078,6.102643288019752,-10.130267192837945,-12.79990146591652,-14.065207775964675,-14.63578982110791,-140.0,-15.52567,6.935541984536876,-9.25670693320255,-11.9315216855698,-13.209316573745902,-13.795965001836327,-140.0,-16.10118,7.586792696838963,-8.567868790432607,-11.251531629102622,-12.544590629179826,-13.15082477237545
-130.0,4.41573,5.765656279792136,-10.162119161468851,-12.823928192352566,-14.086523929030182,-14.676801073008654,-130.0,-11.32446,5.394356320762438,-10.409426376622669,-13.062691156869354,-14.315140117801507,-14.88116765041384,-130.0,-14.00058,6.204135035859443,-9.5576479014095,-12.206608982317226,-13.461499121952283,-14.026747767715667,-130.0,-15.2667,7.066345574593784,-8.654915906043383,-11.307814341636425,-12.574923513860211,-13.15469176173842,-130.0,-15.84221,7.7380032918298784,-7.945889863094045,-10.60675637061642,-11.889097247645546,-12.487690454253874
-120.0,4.32941,5.960135212126673,-9.538750025792122,-12.183496345157241,-13.438429536487076,-14.032171810771882,-120.0,-11.0367,5.441022084654606,-9.916253515066359,-12.550840973142275,-13.794217850418203,-14.359355326060045,-120.0,-13.71282,6.21327459931854,-9.103305468054891,-11.731549196518966,-12.975819164072114,-13.53602464478622,-120.0,-14.95016,7.060875968898647,-8.218239832903691,-10.848531075924363,-12.103893296598176,-12.675716403835075,-120.0,-15.52567,7.720721291868363,-7.523525613134002,-10.16016238703966,-11.429802942141313,-12.01837886844045
-110.0,4.30063,6.259468951035643,-8.818206102430008,-11.444787787134642,-12.692266229720893,-13.290656393720727,-110.0,-10.74895,5.463379967961817,-9.468376578773649,-12.08447435265415,-13.319159761647269,-13.884801788748243,-110.0,-13.36752,6.131686757008313,-8.765542078584534,-11.373142512173825,-12.606661191395247,-13.162330780224277,-110.0,-14.63364,6.920997419762422,-7.94468167021756,-10.551888461777645,-11.794537888321107,-12.357726915312373,-110.0,-15.20915,7.537877568284699,-7.297546900740997,-9.908835020922236,-11.16392846306787,-11.740627279278666
